Amount Received,Amount Paid,Payment Format,Year,Month
453.53,155.54,Debit Card,2022,12
441.38,112.02,Debit Card,2022,11
242.5,337.4,Debit Card,2021,8
402.85,337.42,Debit Card,2023,2
494.53,186.08,Bank Transfer,2023,10
310.53,263.44,Credit Card,2022,11
288.29,147.89,Credit Card,2022,2
105.87,158.99,Credit Card,2023,3
380.08,352.46,Credit Card,2022,2
443.39,226.21,Debit Card,2023,8
198.98,220.88,Bank Transfer,2023,8
226.01,340.03,Credit Card,2022,8
300.27,198.67,Debit Card,2023,4
128.83,106.41,Debit Card,2023,12
135.86,222.21,Bank Transfer,2022,4
268.44,449.6,Cash,2022,10
204.49,450.29,Bank Transfer,2021,5
262.41,467.46,Cash,2022,1
281.75,177.31,Debit Card,2022,7
490.51,367.94,Credit Card,2021,12
477.7,296.88,Cash,2022,7
155.89,205.27,Cash,2023,4
453.03,357.48,Cash,2022,8
132.08,344.01,Cash,2021,2
303.05,157.94,Credit Card,2022,5
165.56,404.39,Credit Card,2021,11
246.36,464.26,Bank Transfer,2023,7
397.34,223.6,Debit Card,2022,7
269.8,139.67,Cash,2021,6
422.78,245.4,Debit Card,2021,10
387.53,439.65,Debit Card,2021,7
477.14,284.91,Cash,2023,8
313.66,405.57,Debit Card,2023,5
420.86,334.15,Debit Card,2021,10
229.16,490.3,Cash,2022,12
238.3,322.84,Cash,2021,10
260.2,413.08,Debit Card,2021,7
264.37,253.88,Bank Transfer,2021,1
141.3,279.64,Credit Card,2023,7
307.64,208.11,Debit Card,2021,4
138.72,201.46,Cash,2023,2
455.9,321.21,Cash,2022,6
124.74,368.48,Bank Transfer,2022,4
279.88,114.31,Bank Transfer,2021,7
213.88,115.66,Cash,2023,3
161.95,111.14,Bank Transfer,2021,6
413.53,313.28,Debit Card,2023,8
385.97,333.29,Credit Card,2022,5
158.38,319.65,Credit Card,2023,12
353.11,293.6,Cash,2023,3
417.02,324.2,Debit Card,2023,2
409.33,220.4,Credit Card,2021,10
136.91,465.75,Bank Transfer,2023,2
374.21,440.38,Debit Card,2023,4
386.41,300.31,Credit Card,2022,2
444.87,344.62,Debit Card,2022,7
303.22,343.91,Debit Card,2023,6
284.44,196.34,Cash,2023,5
486.05,163.77,Cash,2022,12
418.6,455.98,Cash,2023,8
323.49,256.56,Credit Card,2022,2
232.25,463.5,Cash,2022,1
438.1,377.37,Bank Transfer,2021,8
282.17,392.65,Debit Card,2022,6
137.07,173.07,Bank Transfer,2021,2
281.96,455.09,Credit Card,2021,3
448.79,417.58,Debit Card,2021,8
279.31,123.39,Bank Transfer,2021,11
105.74,459.83,Bank Transfer,2023,6
344.59,318.16,Debit Card,2022,2
498.33,378.63,Debit Card,2021,3
426.9,430.57,Debit Card,2023,6
346.9,192.13,Cash,2022,12
465.76,237.31,Credit Card,2023,6
425.43,422.7,Credit Card,2023,9
299.46,248.49,Cash,2023,5
336.49,361.58,Cash,2021,8
392.52,427.52,Credit Card,2023,8
438.57,409.92,Bank Transfer,2021,3
123.27,341.88,Credit Card,2021,4
409.92,469.74,Debit Card,2022,1
279.0,219.14,Debit Card,2021,12
364.32,271.44,Cash,2023,3
405.85,409.08,Bank Transfer,2023,2
315.8,404.76,Cash,2021,7
163.41,363.84,Bank Transfer,2021,3
263.81,150.23,Cash,2023,12
130.75,331.38,Cash,2022,5
375.72,486.36,Bank Transfer,2022,9
481.48,205.57,Cash,2023,11
418.1,127.59,Cash,2022,5
255.91,105.91,Credit Card,2022,7
333.72,341.37,Bank Transfer,2021,3
221.68,120.86,Credit Card,2022,10
316.42,470.04,Credit Card,2021,10
220.29,453.67,Credit Card,2021,6
395.33,460.48,Credit Card,2022,11
203.74,359.3,Cash,2023,5
485.61,112.41,Debit Card,2022,3
364.78,324.74,Cash,2022,3
127.51,131.01,Debit Card,2021,11
104.31,132.86,Credit Card,2023,6
498.82,122.28,Cash,2022,4
188.2,148.58,Cash,2023,8
225.03,311.53,Credit Card,2021,10
183.37,326.75,Cash,2022,4
471.24,410.75,Bank Transfer,2021,7
360.81,413.3,Bank Transfer,2022,3
301.75,219.29,Credit Card,2021,5
323.06,277.85,Cash,2022,6
227.15,303.43,Cash,2021,9
345.67,102.11,Bank Transfer,2021,2
267.84,450.92,Bank Transfer,2023,5
179.69,299.18,Credit Card,2022,7
362.64,331.65,Credit Card,2023,5
249.54,192.75,Cash,2021,9
414.03,410.42,Debit Card,2021,10
266.16,244.56,Credit Card,2021,4
303.31,373.73,Credit Card,2021,6
414.99,306.33,Debit Card,2021,8
279.15,437.72,Credit Card,2021,1
486.49,312.67,Debit Card,2023,3
417.21,437.45,Cash,2022,8
430.57,231.91,Credit Card,2021,4
481.57,240.03,Cash,2022,11
255.54,383.39,Debit Card,2022,1
332.03,376.62,Credit Card,2021,8
377.44,144.48,Bank Transfer,2021,10
369.38,223.59,Cash,2023,12
481.17,151.48,Cash,2021,8
215.34,193.31,Debit Card,2021,9
216.54,248.83,Debit Card,2022,10
467.2,492.11,Cash,2022,10
419.72,248.49,Debit Card,2022,1
181.34,278.85,Cash,2021,9
328.02,130.56,Debit Card,2023,1
398.31,248.5,Credit Card,2021,10
241.21,221.06,Cash,2021,2
273.75,246.39,Cash,2021,10
330.16,147.41,Bank Transfer,2021,5
286.84,362.76,Bank Transfer,2023,8
401.22,131.07,Cash,2021,1
102.38,378.5,Cash,2022,9
273.85,194.38,Bank Transfer,2022,3
235.03,378.73,Debit Card,2023,2
343.67,279.4,Debit Card,2021,1
410.38,484.17,Bank Transfer,2023,5
130.46,255.92,Bank Transfer,2021,8
163.22,427.17,Debit Card,2023,2
366.03,475.67,Cash,2022,6
395.36,114.94,Credit Card,2022,9
335.28,339.86,Cash,2023,8
493.12,203.94,Credit Card,2021,7
299.78,193.69,Bank Transfer,2022,3
154.52,304.6,Bank Transfer,2022,6
374.52,476.32,Credit Card,2021,6
340.83,124.77,Cash,2023,10
336.17,483.65,Bank Transfer,2023,2
318.34,422.64,Debit Card,2021,1
475.64,460.08,Bank Transfer,2021,12
151.66,120.14,Cash,2022,3
129.28,220.29,Bank Transfer,2022,6
161.65,148.89,Cash,2021,12
198.0,260.62,Cash,2022,9
337.18,169.42,Bank Transfer,2023,10
344.97,127.65,Debit Card,2022,10
193.04,358.79,Credit Card,2021,5
295.69,313.6,Bank Transfer,2022,8
292.82,452.78,Bank Transfer,2023,11
281.24,162.42,Cash,2023,7
421.42,239.15,Credit Card,2021,11
288.68,333.09,Debit Card,2023,6
403.35,132.39,Debit Card,2022,8
166.59,456.9,Debit Card,2022,5
312.79,486.37,Debit Card,2022,8
429.64,315.27,Credit Card,2022,1
171.09,431.16,Bank Transfer,2023,8
285.97,296.67,Bank Transfer,2022,6
343.63,138.27,Bank Transfer,2023,4
173.91,260.77,Credit Card,2021,2
402.71,310.22,Credit Card,2021,1
131.6,392.93,Debit Card,2023,2
478.57,154.11,Debit Card,2021,6
287.29,276.09,Debit Card,2023,2
234.45,378.26,Cash,2021,9
146.72,353.16,Cash,2022,5
273.04,133.61,Credit Card,2022,4
363.92,234.57,Bank Transfer,2022,11
137.79,119.14,Bank Transfer,2023,9
222.51,159.85,Credit Card,2022,5
434.41,183.61,Cash,2022,3
358.47,266.07,Cash,2021,6
182.55,300.34,Debit Card,2022,1
164.36,429.15,Credit Card,2022,4
461.79,411.08,Debit Card,2023,8
214.81,299.99,Credit Card,2022,5
171.8,223.78,Debit Card,2023,4
499.99,153.15,Debit Card,2022,7
223.68,453.35,Cash,2021,10
149.9,282.51,Bank Transfer,2021,12
284.7,347.39,Credit Card,2021,8
273.74,378.19,Debit Card,2021,12
470.72,397.97,Cash,2021,11
153.68,429.36,Bank Transfer,2022,11
136.45,296.23,Cash,2022,9
137.19,273.3,Bank Transfer,2021,10
461.71,401.16,Credit Card,2022,3
279.75,244.54,Bank Transfer,2022,7
160.24,121.83,Cash,2023,4
337.53,426.38,Cash,2023,9
315.05,361.27,Bank Transfer,2023,5
179.36,283.64,Credit Card,2022,2
341.22,492.12,Bank Transfer,2023,6
236.09,370.48,Cash,2023,2
195.35,153.57,Debit Card,2023,10
304.16,240.31,Cash,2021,2
216.66,314.0,Bank Transfer,2023,3
188.86,416.95,Cash,2023,6
451.89,440.94,Credit Card,2023,7
162.31,336.52,Credit Card,2023,8
212.24,130.91,Credit Card,2021,1
254.46,249.98,Credit Card,2022,3
209.46,235.22,Credit Card,2022,3
184.28,452.07,Bank Transfer,2022,5
408.46,161.42,Cash,2023,3
231.61,205.41,Bank Transfer,2022,11
145.01,118.91,Credit Card,2022,8
316.36,286.36,Credit Card,2022,4
150.2,164.58,Debit Card,2021,3
243.01,490.61,Bank Transfer,2022,4
452.73,272.57,Bank Transfer,2021,8
247.66,462.36,Cash,2022,8
353.0,181.04,Cash,2021,9
305.85,328.63,Cash,2022,8
155.09,396.44,Cash,2023,3
359.63,417.92,Bank Transfer,2023,10
442.41,366.21,Cash,2021,12
137.28,499.61,Credit Card,2021,1
401.47,386.52,Bank Transfer,2023,5
376.08,344.7,Debit Card,2022,5
446.66,449.92,Debit Card,2021,11
141.64,387.29,Credit Card,2021,10
222.28,152.12,Debit Card,2021,4
377.72,407.6,Bank Transfer,2022,9
108.81,160.27,Debit Card,2022,3
393.63,159.47,Debit Card,2021,7
443.19,216.18,Cash,2021,1
281.32,398.63,Cash,2022,3
273.73,333.72,Cash,2022,12
211.39,238.42,Debit Card,2022,9
102.02,420.39,Bank Transfer,2022,1
174.52,137.62,Debit Card,2023,10
491.95,218.9,Debit Card,2021,11
446.91,439.3,Cash,2021,8
206.6,244.96,Bank Transfer,2021,2
485.5,230.5,Credit Card,2023,12
247.09,314.05,Bank Transfer,2022,4
219.03,463.43,Debit Card,2021,9
161.12,484.84,Credit Card,2023,3
460.64,131.71,Bank Transfer,2023,12
494.8,479.39,Bank Transfer,2022,8
230.96,484.31,Debit Card,2023,10
381.37,239.75,Cash,2022,8
234.12,107.23,Bank Transfer,2021,11
142.0,241.13,Bank Transfer,2021,10
257.08,408.18,Debit Card,2023,9
320.63,149.01,Debit Card,2021,12
149.21,197.89,Cash,2021,6
427.31,147.84,Credit Card,2022,12
298.95,113.67,Debit Card,2023,10
193.75,435.06,Debit Card,2021,4
337.1,338.73,Debit Card,2023,5
417.3,450.69,Debit Card,2021,8
231.05,149.35,Bank Transfer,2022,6
380.59,372.02,Cash,2021,12
271.14,330.02,Credit Card,2022,12
485.62,435.12,Cash,2023,5
408.38,292.14,Bank Transfer,2022,12
242.54,214.99,Credit Card,2022,8
107.1,303.27,Cash,2022,5
363.01,290.87,Debit Card,2023,9
179.15,374.45,Bank Transfer,2021,4
148.75,477.66,Debit Card,2022,6
472.71,246.64,Credit Card,2022,12
499.98,328.32,Credit Card,2023,6
207.96,242.08,Bank Transfer,2021,2
220.71,323.11,Cash,2021,4
166.0,465.04,Cash,2021,12
283.07,231.81,Credit Card,2022,12
446.34,472.95,Bank Transfer,2023,4
380.6,407.47,Credit Card,2023,8
438.53,390.67,Debit Card,2021,7
191.39,422.3,Debit Card,2021,4
392.18,317.57,Debit Card,2023,3
467.41,182.28,Cash,2023,1
212.57,495.88,Cash,2021,8
376.26,213.31,Credit Card,2021,1
260.26,213.29,Cash,2022,5
216.09,311.04,Credit Card,2021,6
487.85,264.48,Debit Card,2023,3
239.45,134.74,Credit Card,2021,12
143.14,283.4,Credit Card,2021,9
255.44,235.85,Credit Card,2023,7
279.07,465.87,Debit Card,2022,9
400.88,457.66,Debit Card,2023,4
479.97,342.25,Debit Card,2023,5
426.82,385.09,Credit Card,2023,2
472.38,335.23,Bank Transfer,2021,6
290.02,192.41,Credit Card,2022,8
387.73,402.59,Debit Card,2021,7
223.62,208.65,Cash,2022,12
127.83,246.25,Cash,2021,11
246.19,437.16,Bank Transfer,2021,8
379.17,246.02,Bank Transfer,2022,4
209.85,119.26,Cash,2021,6
444.56,109.51,Credit Card,2023,9
416.31,392.5,Cash,2022,4
177.62,118.1,Cash,2023,11
232.33,498.29,Bank Transfer,2023,3
430.12,497.12,Credit Card,2022,4
197.58,267.84,Cash,2022,11
232.64,199.03,Cash,2023,10
237.23,423.04,Debit Card,2023,12
420.42,392.11,Credit Card,2021,2
114.81,476.02,Credit Card,2023,12
129.51,186.9,Cash,2023,5
331.38,479.09,Cash,2022,11
258.84,339.43,Bank Transfer,2022,10
353.15,321.11,Credit Card,2021,2
206.58,349.72,Credit Card,2021,3
463.83,208.39,Cash,2023,11
404.38,248.39,Credit Card,2022,5
127.1,453.75,Credit Card,2021,12
413.56,363.33,Cash,2021,11
487.83,445.69,Credit Card,2022,5
476.97,214.79,Bank Transfer,2021,3
394.19,129.35,Cash,2022,3
149.44,154.06,Credit Card,2022,4
330.43,203.33,Debit Card,2022,6
213.69,297.7,Cash,2022,9
488.09,176.7,Credit Card,2023,3
386.99,371.43,Credit Card,2021,8
344.31,411.27,Cash,2023,9
378.04,385.23,Bank Transfer,2022,2
275.19,391.13,Debit Card,2023,12
249.09,328.07,Bank Transfer,2023,2
474.32,397.79,Bank Transfer,2023,3
232.77,453.91,Cash,2021,6
116.57,355.62,Debit Card,2021,9
260.34,477.36,Credit Card,2023,10
416.14,323.98,Bank Transfer,2021,6
359.39,366.99,Credit Card,2023,3
484.87,290.37,Cash,2023,8
142.48,320.4,Bank Transfer,2021,4
464.62,401.81,Cash,2023,11
247.54,499.34,Cash,2023,8
289.6,119.04,Debit Card,2023,3
271.39,318.73,Bank Transfer,2021,11
146.58,263.75,Cash,2021,10
199.12,471.78,Debit Card,2021,12
396.91,161.97,Debit Card,2023,3
109.2,429.49,Cash,2023,3
153.56,152.17,Debit Card,2022,9
110.08,409.14,Bank Transfer,2023,8
442.96,457.1,Bank Transfer,2023,11
346.93,398.6,Credit Card,2022,4
167.97,479.78,Credit Card,2022,12
407.51,340.13,Debit Card,2023,2
486.72,212.39,Bank Transfer,2023,5
473.82,446.97,Debit Card,2023,2
468.62,399.89,Debit Card,2022,4
103.12,435.37,Credit Card,2023,7
335.61,311.63,Credit Card,2023,6
202.65,436.92,Credit Card,2021,9
325.86,146.07,Credit Card,2022,10
227.21,467.85,Bank Transfer,2021,4
161.47,190.37,Bank Transfer,2022,1
277.8,414.21,Debit Card,2021,6
298.04,100.39,Debit Card,2021,8
495.91,471.89,Cash,2022,12
116.96,480.64,Debit Card,2022,7
220.46,474.45,Credit Card,2021,10
440.76,319.49,Bank Transfer,2022,11
363.88,170.85,Debit Card,2022,8
430.67,130.09,Credit Card,2022,1
364.12,348.9,Cash,2022,4
403.81,313.36,Bank Transfer,2022,4
297.17,288.91,Credit Card,2023,8
181.95,140.93,Credit Card,2022,6
424.0,449.83,Bank Transfer,2023,3
327.13,391.13,Credit Card,2022,6
155.8,449.77,Credit Card,2022,8
421.96,256.07,Debit Card,2022,1
483.43,346.54,Debit Card,2022,6
238.47,291.77,Credit Card,2022,5
217.4,493.28,Credit Card,2023,3
132.71,255.99,Bank Transfer,2023,2
365.8,426.24,Cash,2022,3
483.58,335.91,Credit Card,2023,12
154.4,225.86,Debit Card,2022,1
294.06,264.72,Cash,2022,2
139.3,240.93,Credit Card,2023,5
113.64,405.99,Debit Card,2021,5
365.8,366.6,Cash,2023,3
447.07,146.49,Bank Transfer,2023,10
235.03,409.55,Credit Card,2021,8
450.31,284.54,Cash,2023,1
146.82,230.61,Credit Card,2023,12
195.18,249.56,Bank Transfer,2022,8
460.64,152.03,Credit Card,2023,3
303.4,224.93,Credit Card,2022,6
343.28,169.3,Debit Card,2023,8
115.21,283.04,Debit Card,2023,1
151.36,311.17,Cash,2022,6
122.32,496.01,Cash,2022,12
462.0,407.56,Credit Card,2021,5
153.92,311.56,Cash,2022,2
439.87,249.73,Debit Card,2022,9
240.41,163.6,Debit Card,2022,1
420.24,251.72,Bank Transfer,2021,3
246.02,317.83,Debit Card,2021,6
207.07,171.12,Credit Card,2023,1
137.46,459.97,Bank Transfer,2021,10
212.28,355.65,Bank Transfer,2021,10
288.59,262.01,Credit Card,2021,10
427.0,417.7,Cash,2023,6
281.01,153.82,Bank Transfer,2023,2
488.57,435.11,Bank Transfer,2022,9
316.65,107.57,Cash,2021,2
109.98,258.03,Credit Card,2022,12
266.15,323.52,Bank Transfer,2022,8
375.56,167.17,Bank Transfer,2022,12
193.72,367.93,Debit Card,2021,5
379.45,484.44,Bank Transfer,2022,8
301.48,132.37,Credit Card,2021,9
110.3,103.69,Credit Card,2021,3
409.74,383.3,Bank Transfer,2022,2
324.15,417.34,Credit Card,2022,6
133.0,266.51,Cash,2022,6
290.09,238.37,Debit Card,2023,9
214.92,240.65,Credit Card,2022,7
451.87,435.42,Debit Card,2022,5
213.97,123.12,Cash,2021,11
476.67,418.48,Bank Transfer,2023,6
318.45,156.68,Bank Transfer,2022,3
229.45,428.32,Bank Transfer,2023,10
425.42,316.59,Bank Transfer,2023,4
378.96,434.37,Debit Card,2022,4
265.58,158.4,Cash,2022,4
351.85,157.87,Debit Card,2022,6
411.43,186.04,Cash,2021,11
440.62,307.01,Cash,2021,2
426.57,277.21,Cash,2022,11
166.43,204.64,Debit Card,2022,1
431.36,212.01,Bank Transfer,2021,4
123.45,406.44,Credit Card,2023,4
180.07,131.15,Cash,2023,8
349.17,459.28,Cash,2022,1
145.88,257.75,Debit Card,2022,3
341.34,401.2,Cash,2021,8
223.19,161.84,Debit Card,2022,1
271.79,415.54,Bank Transfer,2023,1
226.06,201.74,Bank Transfer,2023,3
128.07,100.99,Debit Card,2021,2
300.3,410.85,Cash,2023,5
485.44,336.12,Bank Transfer,2021,6
344.71,368.58,Credit Card,2021,4
220.01,339.45,Debit Card,2021,10
482.46,192.93,Cash,2021,4
255.69,231.64,Credit Card,2023,6
379.01,102.97,Bank Transfer,2023,5
353.65,464.83,Credit Card,2023,1
481.16,275.55,Cash,2022,5
465.84,167.23,Debit Card,2023,7
159.2,100.17,Cash,2023,11
134.27,414.08,Debit Card,2023,9
423.86,237.5,Debit Card,2022,1
461.98,213.77,Credit Card,2021,11
297.19,312.6,Bank Transfer,2023,9
376.3,297.02,Cash,2022,6
127.92,347.55,Cash,2021,7
187.92,101.68,Bank Transfer,2022,9
159.75,245.95,Bank Transfer,2023,10
340.46,489.83,Bank Transfer,2021,4
179.02,182.88,Cash,2021,1
123.94,231.26,Debit Card,2021,2
220.88,145.63,Debit Card,2023,8
370.88,300.16,Bank Transfer,2022,2
331.15,260.27,Bank Transfer,2023,1
232.29,261.75,Debit Card,2023,5
433.39,268.61,Bank Transfer,2022,12
210.51,380.84,Debit Card,2021,9
204.22,280.77,Credit Card,2021,4
323.98,204.23,Bank Transfer,2023,3
291.29,297.25,Bank Transfer,2021,4
278.39,478.28,Bank Transfer,2021,8
162.31,288.47,Debit Card,2023,6
301.86,155.6,Cash,2023,8
203.61,429.38,Bank Transfer,2021,8
256.87,466.99,Cash,2023,4
393.43,236.2,Cash,2022,1
474.75,108.83,Bank Transfer,2021,8
409.55,422.28,Debit Card,2022,2
262.25,230.04,Cash,2023,10
337.21,319.1,Debit Card,2023,2
398.6,413.86,Cash,2023,11
265.69,290.72,Bank Transfer,2022,7
244.1,216.96,Cash,2023,12
154.1,442.65,Cash,2021,11
394.5,469.23,Cash,2021,12
435.4,386.78,Cash,2022,4
226.63,104.84,Bank Transfer,2023,12
413.4,117.26,Bank Transfer,2023,7
344.09,331.09,Cash,2023,11
413.63,410.32,Bank Transfer,2021,8
264.53,156.57,Bank Transfer,2021,12
399.03,461.01,Bank Transfer,2021,6
263.4,466.81,Credit Card,2021,2
135.5,416.88,Bank Transfer,2023,1
320.23,359.4,Debit Card,2022,12
281.73,246.93,Debit Card,2022,6
201.15,137.06,Debit Card,2021,2
456.85,475.58,Cash,2023,5
253.14,213.73,Debit Card,2021,9
115.65,173.16,Debit Card,2021,2
252.85,479.21,Bank Transfer,2022,2
269.8,338.79,Debit Card,2021,6
444.66,481.96,Cash,2022,8
419.67,431.82,Debit Card,2022,5
179.99,216.39,Cash,2023,1
435.61,366.37,Debit Card,2023,11
199.17,343.11,Bank Transfer,2021,10
236.77,258.99,Bank Transfer,2023,8
130.73,316.83,Cash,2023,6
122.14,311.16,Cash,2022,7
372.34,125.93,Debit Card,2022,10
469.34,171.82,Debit Card,2022,12
297.21,318.23,Cash,2023,11
437.64,117.4,Credit Card,2021,9
417.5,424.05,Cash,2023,1
365.87,256.94,Credit Card,2021,12
491.29,130.25,Debit Card,2022,1
420.88,436.55,Credit Card,2023,2
209.94,127.44,Debit Card,2022,4
415.61,167.41,Credit Card,2023,4
377.06,406.67,Credit Card,2023,11
259.81,473.46,Debit Card,2021,3
130.72,113.84,Debit Card,2021,7
185.74,124.2,Cash,2022,2
418.9,293.05,Cash,2022,5
199.39,267.95,Cash,2023,10
499.14,485.36,Debit Card,2021,10
377.6,278.97,Credit Card,2023,9
290.89,384.12,Bank Transfer,2022,8
328.17,240.16,Bank Transfer,2022,5
344.35,173.71,Credit Card,2021,3
487.58,375.83,Credit Card,2021,1
164.7,282.11,Bank Transfer,2021,4
208.96,327.7,Bank Transfer,2021,9
383.84,421.86,Bank Transfer,2021,8
195.94,241.38,Debit Card,2021,8
448.52,297.01,Debit Card,2022,10
238.61,302.74,Bank Transfer,2021,7
172.34,127.31,Bank Transfer,2023,4
119.05,375.01,Bank Transfer,2022,11
338.24,277.55,Credit Card,2021,5
430.11,339.67,Bank Transfer,2022,6
209.52,454.78,Bank Transfer,2022,1
467.02,204.89,Bank Transfer,2023,1
403.09,369.47,Debit Card,2021,6
124.52,323.03,Bank Transfer,2023,12
329.05,316.43,Bank Transfer,2022,2
326.98,474.59,Cash,2022,10
180.95,243.64,Credit Card,2022,6
233.82,127.33,Cash,2021,1
283.31,236.91,Credit Card,2021,7
119.23,102.45,Bank Transfer,2021,4
159.91,429.05,Bank Transfer,2021,11
165.6,495.57,Cash,2021,5
251.69,425.12,Debit Card,2022,8
398.94,417.53,Cash,2021,10
432.52,358.09,Debit Card,2023,2
165.14,330.21,Bank Transfer,2023,8
400.76,327.12,Debit Card,2022,1
368.28,262.13,Debit Card,2022,11
456.27,169.32,Bank Transfer,2023,12
487.52,361.14,Debit Card,2021,1
149.78,110.07,Bank Transfer,2022,12
132.27,192.7,Debit Card,2021,9
419.89,101.7,Bank Transfer,2022,7
164.87,299.67,Bank Transfer,2022,9
177.83,242.57,Debit Card,2021,12
452.81,270.85,Bank Transfer,2022,7
475.59,329.34,Credit Card,2023,4
227.39,130.42,Debit Card,2023,5
436.87,205.12,Debit Card,2023,3
443.54,192.01,Credit Card,2023,4
342.16,454.53,Credit Card,2021,7
326.44,396.5,Cash,2023,6
330.34,174.36,Debit Card,2021,11
220.52,435.34,Debit Card,2023,5
347.55,297.09,Debit Card,2021,7
197.43,424.98,Credit Card,2021,2
171.05,392.63,Debit Card,2023,3
265.18,244.66,Credit Card,2023,8
382.31,340.7,Bank Transfer,2022,8
348.57,339.81,Debit Card,2021,7
485.95,468.03,Credit Card,2021,10
358.58,138.47,Credit Card,2021,1
156.53,435.82,Bank Transfer,2023,2
164.49,257.45,Debit Card,2022,8
137.23,156.24,Cash,2022,9
176.47,214.45,Debit Card,2022,4
339.18,169.71,Cash,2023,3
435.31,135.69,Cash,2023,11
457.55,204.62,Debit Card,2023,8
260.02,277.9,Bank Transfer,2023,3
323.43,385.21,Debit Card,2022,2
423.68,481.15,Bank Transfer,2022,8
224.83,175.25,Credit Card,2023,7
338.27,136.24,Credit Card,2022,8
169.63,258.35,Debit Card,2022,8
290.62,394.53,Debit Card,2021,11
169.23,430.17,Cash,2023,5
284.97,180.74,Cash,2023,5
258.73,232.95,Bank Transfer,2022,9
273.31,135.62,Credit Card,2022,3
197.48,247.4,Debit Card,2023,2
154.42,229.99,Bank Transfer,2021,1
210.27,322.12,Bank Transfer,2023,11
195.83,380.73,Cash,2023,11
393.72,279.31,Cash,2022,11
386.79,100.53,Bank Transfer,2021,6
333.79,395.19,Cash,2023,1
136.53,180.6,Cash,2023,10
326.5,360.48,Debit Card,2022,4
131.69,456.29,Cash,2022,11
107.27,263.65,Debit Card,2023,2
241.04,112.35,Debit Card,2022,4
196.22,472.92,Cash,2022,7
337.86,217.05,Cash,2021,1
471.46,391.41,Bank Transfer,2021,1
387.94,236.96,Credit Card,2022,4
406.94,436.65,Bank Transfer,2023,12
480.36,360.82,Cash,2022,7
353.64,217.21,Bank Transfer,2022,4
331.09,154.62,Bank Transfer,2022,10
340.75,165.35,Bank Transfer,2023,6
446.32,411.08,Bank Transfer,2022,12
255.24,140.52,Bank Transfer,2022,3
418.13,158.31,Credit Card,2023,9
360.9,336.52,Credit Card,2021,8
221.83,150.6,Debit Card,2022,4
105.48,121.36,Cash,2023,12
183.97,177.61,Cash,2023,12
380.0,216.65,Credit Card,2023,3
331.88,260.55,Debit Card,2021,6
209.84,377.8,Credit Card,2022,11
273.72,403.2,Bank Transfer,2023,3
364.46,350.87,Bank Transfer,2023,5
150.83,308.33,Cash,2021,5
272.91,125.82,Credit Card,2023,4
266.65,282.22,Debit Card,2022,2
317.04,142.47,Cash,2023,12
308.77,432.67,Bank Transfer,2022,11
247.09,217.02,Credit Card,2022,9
405.09,261.47,Debit Card,2021,3
126.89,123.33,Cash,2021,6
114.22,268.87,Credit Card,2022,10
268.1,357.95,Debit Card,2023,6
458.68,298.76,Debit Card,2023,5
211.03,429.31,Debit Card,2021,2
168.92,259.01,Debit Card,2022,9
471.28,479.72,Credit Card,2022,2
167.29,431.18,Bank Transfer,2023,6
249.94,414.85,Bank Transfer,2023,4
391.61,161.37,Cash,2021,5
204.37,196.18,Cash,2022,11
191.94,239.87,Bank Transfer,2023,3
259.07,172.21,Cash,2022,10
414.95,129.89,Bank Transfer,2021,12
464.39,110.34,Cash,2021,1
112.52,265.02,Bank Transfer,2022,6
166.04,115.13,Bank Transfer,2022,1
483.44,169.97,Credit Card,2023,4
337.12,468.49,Cash,2023,12
320.56,299.42,Cash,2023,1
425.42,141.34,Bank Transfer,2022,1
115.91,454.61,Bank Transfer,2022,12
105.53,174.27,Cash,2022,10
487.0,298.01,Cash,2023,7
431.43,437.15,Bank Transfer,2022,4
398.95,495.2,Credit Card,2023,7
162.28,150.6,Cash,2023,12
290.64,379.35,Credit Card,2023,1
474.92,130.83,Credit Card,2021,4
473.44,332.27,Cash,2023,3
103.7,408.44,Cash,2021,3
401.0,235.01,Credit Card,2023,12
102.5,342.73,Debit Card,2021,10
493.72,229.42,Cash,2023,10
266.79,224.25,Cash,2023,6
489.41,232.98,Credit Card,2022,11
247.1,359.44,Credit Card,2022,2
217.27,347.17,Cash,2023,1
226.52,465.12,Cash,2021,10
392.27,427.76,Bank Transfer,2023,5
179.87,332.33,Cash,2022,5
445.62,346.43,Cash,2023,6
336.23,321.02,Credit Card,2021,5
487.96,371.07,Cash,2022,4
494.83,269.79,Debit Card,2023,3
174.07,486.0,Credit Card,2023,5
482.31,104.94,Cash,2023,2
118.62,161.29,Bank Transfer,2023,5
111.15,174.7,Bank Transfer,2023,10
477.55,159.02,Cash,2021,5
484.96,336.52,Bank Transfer,2022,12
158.9,107.44,Cash,2021,6
276.97,140.79,Credit Card,2021,4
297.64,151.4,Cash,2021,1
444.11,422.43,Debit Card,2021,3
351.17,437.04,Credit Card,2021,7
409.83,364.36,Debit Card,2022,4
294.04,256.95,Bank Transfer,2023,2
359.37,396.79,Credit Card,2021,10
394.16,440.16,Bank Transfer,2022,6
395.15,248.81,Credit Card,2021,10
100.7,369.67,Credit Card,2021,3
139.96,377.46,Cash,2021,2
245.46,251.93,Bank Transfer,2021,5
124.48,114.24,Debit Card,2021,9
253.2,293.03,Bank Transfer,2023,12
255.83,253.08,Bank Transfer,2021,8
468.09,464.24,Cash,2023,6
326.83,129.38,Credit Card,2021,9
